,raw(m),inner(m),middle(m),outer(m),raw(s),inner(s),middle(s),outer(s),result
56,106.41288265235012,105.87769125057261,102.86829663426568,110.51638304971638,16.035749991110748,16.28997701298922,14.038897819103333,16.729366003656736,1
57,117.37669519864666,115.26306185336293,116.57888696693499,120.23600040190234,15.64619924706252,13.884250818803482,15.312042084933966,17.107614024314746,1
58,128.45193652337812,129.391611950934,129.89000198373338,126.13626309283715,21.725164761068896,15.10957405955862,14.106228598298962,31.079519142247577,1
59,134.39008657936256,132.77898237220273,134.28959201216688,136.07575909242576,20.83308763184555,23.31808858689393,17.73995563801296,21.003252595386503,1
60,101.2360640514711,94.14132776844642,103.98494015737617,105.33283455858434,22.831942086101787,26.989472588555444,14.300239410387357,23.70545752163041,1
61,134.9231444064897,137.2688905609899,133.74331076194858,133.813484092529,19.48641767249539,14.622568044322044,14.130563310222604,26.645194278671536,1
62,102.45856750429046,98.83205417607225,103.8818289395832,104.56908896520444,21.22497412541977,15.53227026707948,14.212495989107994,29.64715401075886,1
63,113.41919466922567,118.58384018197103,113.82982130276052,107.98406233966136,25.710678089183773,16.18653971435979,17.037150013249658,36.94348343636179,1
64,129.80736231205364,130.86717225700278,132.74447860874164,125.80105105105106,18.689585495267323,16.26894782297415,13.955931556898422,23.71933351393771,1
65,111.07841825738477,105.10510583999022,109.00361947688316,118.91156577612446,20.015137012888935,21.260989232397822,17.031738830223382,18.978613833480978,1
66,93.79394971174627,95.41181859825929,92.17534550023143,93.8354856548045,21.297406004480674,15.453559111765152,16.070282178288224,29.09551853419421,1
67,103.53191795132574,103.01937530751091,105.13314157243933,102.44787261726627,23.29301104271877,22.130145377040886,17.070331348715765,28.92000849047875,0
68,128.2168563484913,134.20176108311702,132.2045559743437,118.55612842365493,23.878917386942884,13.743217953633279,14.119633910495457,34.01911994893784,0
69,111.82505789947876,112.84586281196452,115.63343913244725,107.09953809121072,26.248404141574554,19.240652859122754,16.244714845756487,37.08369265145422,0
70,100.90833068522018,101.74233555589488,100.52314355617271,100.47696029362696,18.548359885383896,15.178678732098058,15.516347367370319,23.643452918344977,0
71,108.2652127131731,106.1973329261465,112.58576340673146,105.93828828828829,23.03210064159331,21.384435243731247,13.363395608334375,30.481486728386667,0
72,123.36846682611095,123.4225242191344,127.09439264696157,119.55507173840508,25.3479953740844,22.769210267481633,17.86627861526628,32.592575270542184,0
73,115.10073422421434,117.12634668566874,118.6717747801362,109.50495495495495,21.307352785622463,16.66543085774704,15.569762721775392,28.154027682513217,0
74,105.15379683675914,106.8542271084644,103.95624214772201,104.69029029029029,20.17893510766837,14.563005315665206,14.750114553414129,28.034091497708967,0
75,100.54877098337911,103.11788059245687,97.00056205779276,101.57688179038448,20.185923525765983,16.334299316946293,13.51089326945504,27.273486654480475,0
76,114.56013863521609,115.30325123906846,111.80294291629694,116.60054006066434,17.04869168214199,16.70587540899617,16.078848857216112,17.935552294449774,0
77,107.6534656833011,106.17408100124106,107.78562822143384,108.94454539336428,21.01320907172577,21.212446709160847,17.400139136876778,23.857987493196692,0
78,104.6915989099974,100.54639385147861,111.69124842954439,101.77864159781406,22.252696143990402,21.173884640774634,15.78389570418071,26.62730169394553,0
79,107.08315676477697,109.96959837490746,108.01944315082163,103.33267466005762,19.857235345095706,14.987070185063397,11.835330557860345,28.147864612125947,0
80,103.30232821809399,104.67828488524533,104.96609545484972,100.3052022343361,18.788005857068644,16.69510171428673,13.115047592294161,24.348313286706684,0
81,108.34899981759591,113.10047335471066,104.82184421080473,107.26429640231603,20.7784848115161,19.952725297203255,11.753640687681782,26.7915930919332,0
82,110.83962811676072,112.55843979572794,112.4873371685512,107.57078264263873,22.154685206761787,17.35758311787067,10.951667530257694,31.957052736459595,0
83,108.05214831663628,109.21015931185424,108.16296369767902,106.8016016016016,20.34662336869824,15.88388017633924,12.400748932635773,28.856292723318393,0
84,112.72828129094121,111.43031166759981,114.79288170336572,111.92100433767101,20.34423689375121,18.82076208818511,13.217891528707684,26.595642076032245,0
